,Address,ProposedUseDescription,DecisionDate,Decision,CommunityName,Latitude,Longitude,Permit_category_new,CTrain,Year
14485,15 CEDARBROOK WY SW,SINGLE DETACHED DWELLING,2016/12/13,Approval,CEDARBRAE,50.95634779107596,-114.12878147400451,House,False,2016
14486,5927 34 ST SW,CONTEXTUAL SINGLE DETACHED DWELLING,2017/01/17,Approval,LAKEVIEW,50.99984489677376,-114.13727421953381,House,False,2017
14487,5316 37 ST SW,BACKYARD SUITE,2017/02/10,Approval,LAKEVIEW,51.00603862001229,-114.140794319234,Secondary_suite,False,2017
14488,24 LORNE PL SW,CONTEXTUAL SINGLE DETACHED DWELLING,2017/01/27,Approval,NORTH GLENMORE PARK,50.996522958386926,-114.11437342715368,House,False,2017
14489,62 LAKE CHRISTINA CL SE,SINGLE DETACHED DWELLING,2017/01/04,Approval,LAKE BONAVISTA,50.940612221957856,-114.03813603455731,House,True,2017
14490,916 CANNELL RD SW,SINGLE DETACHED DWELLING,2016/12/06,Approval,CANYON MEADOWS,50.93972408719308,-114.07817160215187,House,True,2016
14491,744 WILLAMETTE DR SE,SINGLE DETACHED DWELLING,2016/12/13,Approval,WILLOW PARK,50.95212157841757,-114.04680948828856,House,False,2016
14492,52 LEGACY CV SE,SINGLE DETACHED DWELLING,2016/12/15,Approval,LEGACY,50.85931949052971,-114.02026977610814,House,False,2016
14493,15 SADDLEBROOK ME NE,SINGLE DETACHED DWELLING,2016/12/08,Approval,SADDLE RIDGE,51.13289231280488,-113.93074837847809,House,True,2016
14494,51 COVINGTON CL NE,SINGLE DETACHED DWELLING,2016/12/13,Approval,COVENTRY HILLS,51.160531069289895,-114.04234403814408,House,False,2016
14496,184 SHERVIEW GV NW,SINGLE DETACHED DWELLING,2016/12/09,Approval,SHERWOOD,51.16390559993533,-114.15778615645306,House,False,2016
14497,2216 18A ST SW,SEMI-DETACHED DWELLING,2017/05/18,Approval,BANKVIEW,51.03423128448351,-114.10497418181723,House,False,2017
14498,30 KINCORA GLEN PA NW,MULTI-RESIDENTIAL DEVELOPMENT,2017/01/13,Approval,KINCORA,51.16650495111859,-114.14272077919792,Multi_unit,False,2017
14499,74 ROYAL OAK GV NW,CONTEXTUAL SINGLE DETACHED DWELLING,2017/01/17,Approval,ROYAL OAK,51.15097523662435,-114.23304843549263,House,False,2017
14501,1103 40 ST SW,SEMI-DETACHED DWELLING,2017/02/22,Approval,ROSSCARROCK,51.04308253700373,-114.14560997925281,House,True,2017
14502,11 MACEWAN PARK HT NW,MULTI-RESIDENTIAL DEVELOPMENT,2017/01/06,Approval,MACEWAN,51.13620997249075,-114.11436789881843,Multi_unit,False,2017
14503,179 SAVANNA PR NE,SINGLE DETACHED DWELLING,2016/12/15,Approval,SADDLE RIDGE,51.132970818383654,-113.95364828675469,House,True,2016
14504,167 TUSCANY SUMMIT HE NW,MULTI-RESIDENTIAL DEVELOPMENT,2017/11/03,Approval,TUSCANY,51.140964720552546,-114.2544253366884,Multi_unit,True,2017
